Name,Primary Segment,Units Sold,Inventory,Revision Date,Age Dec.31,MTBF,Pfmn Coord,Size,Price,Material Cost,Labor Cost,Contribution Margin,2nd Shift & Over-time,Auto. Next Round,Capacity Next Round,Plant Utilization
Able,Traditional,1,0,7-June-2024,2.3,17,5,13,28,11,7,32.7%,0%,6,1,69%
Acre,Low End,2,0,30-Jan-2024,5.6,12,3,17,21,6,7,30.8%,50%,5,1,150%
Adam,High End,323,124,31-Dec-2024,1.4,23,9,10,39,16,8,35.5%,0%,3,600,68%
Aft,Performance,410,114,28-Aug-2024,1.9,27,10,15,34,16,8,26%,0%,3,600,75%
Agape,Size,280,179,15-Dec-2024,1.8,19,4,9,34,13,8,31.1%,0%,3,600,67%
Apple,no data--,0,0,21-Mar-2025,0,,,,0,0,0,0%,0%,2,1,0%
,,,,,,,,,,,,,,,,
Baker,Traditional,1,0,18-Mar-2024,2.4,17,5,14,26,10,7,26.7%,0%,5,1,72%
Bead,Low End,2,0,26-May-2019,5.6,14,3,17,21,7,7,27.9%,50%,7,1,150%
Bid,High End,428,157,24-Dec-2024,1.4,23,9,10,38,16,8,33.1%,0%,3,900,61%
Bold,Performance,416,206,17-July-2024,2,25,10,15,33,15,8,21.2%,0%,3,600,92%
Buddy,Size,438,119,22-Nov-2024,1.9,19,4,9,33,13,8,30.6%,0%,3,600,83%
,,,,,,,,,,,,,,,,
Cake,Traditional,1,0,3-Mar-2024,2.5,17,5,14,26,10,7,28.5%,0%,4,1,92%
Cedar,Low End,1,0,26-May-2019,5.6,14,3,17,18,7,6,20.2%,8.9%,5,1,109%
Cid,High End,608,76,18-Aug-2024,1.5,23,8,11,38,15,8,34.3%,0%,3,900,72%
Coat,Performance,305,218,2-July-2021,3.5,25,9,15,33,14,8,20.2%,0%,3,600,75%
Cure,Size,251,158,26-May-2021,3.6,19,4,11,33,12,8,28.2%,0%,3,400,88%
,,,,,,,,,,,,,,,,
Daze,Traditional,1,273,27-June-2026,4.1,17,5,14,21,10,7,7.7%,0%,4,1,100%
Dell,Low End,953,175,14-Apr-2026,5.6,14,3,17,28,7,6,48.5%,0%,5,1,92%
Dot,Performance,430,341,14-June-2026,3.5,25,9,15,27,14,9,2.3%,16.7%,4,750,117%
Duck,High End,458,523,17-Feb-2026,2.7,23,8,12,31,14,9,12.4%,5.6%,4,1,106%
Dune,Size,333,422,6-Nov-2026,3.6,19,4,11,25,12,9,-0.8%,16.7%,4,800,117%
,,,,,,,,,,,,,,,,
Eat,Traditional,1,0,18-Mar-2024,2.4,18,5,14,23,10,7,18.8%,0%,5,1,85%
Ebb,Low End,1,0,27-Apr-2024,3.1,14,2,16,19,6,7,25.3%,14.3%,5,1,114%
Echo,High End,622,210,13-May-2024,1.7,23,8,11,33,15,8,22.8%,0%,4,900,89%
Edge,Performance,522,125,25-Feb-2024,2.2,25,9,15,32,14,8,22.5%,0%,4,600,96%
Egg,Size,552,6,30-June-2024,2.1,19,4,10,31,13,8,29%,0%,4,600,83%
,,,,,,,,,,,,,,,,
Fast,Traditional,621,806,25-Nov-2020,4.1,17,5,14,29,10,7,24.6%,0%,5,1,69%
Feat,Low End,1,0,26-May-2019,5.6,14,3,17,23,7,6,39.1%,7.1%,6,1,107%
Fist,High End,408,127,27-Dec-2024,1.4,23,9,10,39,16,8,36%,0%,3,900,56%
Foam,Performance,424,0,9-Aug-2024,1.9,27,10,15,34,16,8,28.3%,0%,4,600,58%
Fume,Size,372,67,10-Dec-2024,1.8,21,4,9,34,14,8,34.4%,0%,3,600,63%
