Name,Primary Segment,Units Sold,Inventory,Revision Date,Age Dec.31,MTBF,Pfmn Coord,Size,Price,Material Cost,Labor Cost,Contribution Margin,2nd Shift & Over-time,Auto. Next Round,Capacity Next Round,Plant Utilization
NameAble,Primary SegmentTraditional,"Units Sold1,429",Inventory0,Revision Date7-June-2024,Age Dec.312.3,"MTBF17,650",Pfmn Coord5.7,Size13.8,Price$28.50,Material Cost$11.16,Labor Cost$7.84,Contribution Margin32.7%,2nd Shift & Over-time0%,Auto. Next Round6,"Capacity Next Round1,800",Plant Utilization69%
NameAcre,Primary SegmentLow End,"Units Sold2,122",Inventory0,Revision Date30-Jan-2024,Age Dec.315.6,"MTBF12,000",Pfmn Coord3,Size17,Price$21.00,Material Cost$6.45,Labor Cost$7.78,Contribution Margin30.8%,2nd Shift & Over-time50%,Auto. Next Round5,"Capacity Next Round1,400",Plant Utilization150%
NameAdam,Primary SegmentHigh End,Units Sold323,Inventory124,Revision Date31-Dec-2024,Age Dec.311.4,"MTBF23,000",Pfmn Coord9.2,Size10.9,Price$39.50,Material Cost$16.02,Labor Cost$8.96,Contribution Margin35.5%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization68%
NameAft,Primary SegmentPerformance,Units Sold410,Inventory114,Revision Date28-Aug-2024,Age Dec.311.9,"MTBF27,000",Pfmn Coord10.4,Size15.3,Price$34.50,Material Cost$16.13,Labor Cost$8.96,Contribution Margin26%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization75%
NameAgape,Primary SegmentSize,Units Sold280,Inventory179,Revision Date15-Dec-2024,Age Dec.311.8,"MTBF19,000",Pfmn Coord4.7,Size9.6,Price$34.50,Material Cost$13.73,Labor Cost$8.96,Contribution Margin31.1%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization67%
NameApple,Primary Segmentno data--,Units Sold0,Inventory0,Revision Date21-Mar-2025,Age Dec.310,MTBF--,Pfmn CoordNaN,SizeNaN,Price$0.00,Material Cost$0.00,Labor Cost$0.00,Contribution Margin0%,2nd Shift & Over-time0%,Auto. Next Round2.3,"Capacity Next Round1,400",Plant Utilization0%
Name,,,,,,,,,,,,,,,,
NameBaker,Primary SegmentTraditional,"Units Sold1,476",Inventory0,Revision Date18-Mar-2024,Age Dec.312.4,"MTBF17,500",Pfmn Coord5.7,Size14.3,Price$26.00,Material Cost$10.85,Labor Cost$7.85,Contribution Margin26.7%,2nd Shift & Over-time0%,Auto. Next Round5,"Capacity Next Round1,800",Plant Utilization72%
NameBead,Primary SegmentLow End,"Units Sold2,118",Inventory0,Revision Date26-May-2019,Age Dec.315.6,"MTBF14,000",Pfmn Coord3,Size17,Price$21.00,Material Cost$7.05,Labor Cost$7.79,Contribution Margin27.9%,2nd Shift & Over-time50%,Auto. Next Round7.5,"Capacity Next Round1,450",Plant Utilization150%
NameBid,Primary SegmentHigh End,Units Sold428,Inventory157,Revision Date24-Dec-2024,Age Dec.311.4,"MTBF23,000",Pfmn Coord9.3,Size10.9,Price$38.00,Material Cost$16.07,Labor Cost$8.97,Contribution Margin33.1%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round900,Plant Utilization61%
NameBold,Primary SegmentPerformance,Units Sold416,Inventory206,Revision Date17-July-2024,Age Dec.312,"MTBF25,000",Pfmn Coord10.4,Size15.3,Price$33.00,Material Cost$15.53,Labor Cost$8.97,Contribution Margin21.2%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization92%
NameBuddy,Primary SegmentSize,Units Sold438,Inventory119,Revision Date22-Nov-2024,Age Dec.311.9,"MTBF19,000",Pfmn Coord4.7,Size9.6,Price$33.00,Material Cost$13.73,Labor Cost$8.97,Contribution Margin30.6%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization83%
Name,,,,,,,,,,,,,,,,
NameCake,Primary SegmentTraditional,"Units Sold1,823",Inventory0,Revision Date3-Mar-2024,Age Dec.312.5,"MTBF17,500",Pfmn Coord5.5,Size14.4,Price$26.50,Material Cost$10.70,Labor Cost$7.85,Contribution Margin28.5%,2nd Shift & Over-time0%,Auto. Next Round4,"Capacity Next Round1,800",Plant Utilization92%
NameCedar,Primary SegmentLow End,"Units Sold1,549",Inventory0,Revision Date26-May-2019,Age Dec.315.6,"MTBF14,000",Pfmn Coord3,Size17,Price$18.00,Material Cost$7.05,Labor Cost$6.99,Contribution Margin20.2%,2nd Shift & Over-time8.9%,Auto. Next Round5,"Capacity Next Round1,400",Plant Utilization109%
NameCid,Primary SegmentHigh End,Units Sold608,Inventory76,Revision Date18-Aug-2024,Age Dec.311.5,"MTBF23,000",Pfmn Coord8.7,Size11,Price$38.00,Material Cost$15.71,Labor Cost$8.97,Contribution Margin34.3%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round900,Plant Utilization72%
NameCoat,Primary SegmentPerformance,Units Sold305,Inventory218,Revision Date2-July-2021,Age Dec.313.5,"MTBF25,000",Pfmn Coord9.4,Size15.5,Price$33.00,Material Cost$14.81,Labor Cost$8.97,Contribution Margin20.2%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization75%
NameCure,Primary SegmentSize,Units Sold251,Inventory158,Revision Date26-May-2021,Age Dec.313.6,"MTBF19,000",Pfmn Coord4,Size11,Price$33.00,Material Cost$12.60,Labor Cost$8.97,Contribution Margin28.2%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round400,Plant Utilization88%
Name,,,,,,,,,,,,,,,,
NameDaze,Primary SegmentTraditional,"Units Sold1,351",Inventory273,Revision Date27-June-2026,Age Dec.314.1,"MTBF17,500",Pfmn Coord5.5,Size14.5,Price$21.00,Material Cost$10.65,Labor Cost$7.85,Contribution Margin7.7%,2nd Shift & Over-time0%,Auto. Next Round4,"Capacity Next Round1,450",Plant Utilization100%
