Name,Primary Segment,Units Sold,Inventory,Revision Date,Age Dec.31,MTBF,Pfmn Coord,Size,Price,Material Cost,Labor Cost,Contribution Margin,2nd Shift & Over-time,Auto. Next Round,Capacity Next Round,Plant Utilization
Able,Traditional,999.0,189.0,25-Nov-20,3.1,17.0,5.0,14.0 --> 13.0,28.0,11.0,7.0,28.90% --> 32.7%,0%,4.0 --> 6.0,1.0,67% --> 69%
Acre,Low End,1.0,39.0,26-May-19,4.6,14.0,3.0,17.0,21.0,7.0 --> 6.0,7.0,27.10% --> 30.8%,30% --> 50%,5.0,1.0,130% --> 150%
Adam,High End,366.0,40.0,20-Apr-22,1.7,23.0,8.0 --> 9.0,12.0 --> 10.0,38.0 --> 39.0,15.0 --> 16.0,8.0,33.40% --> 35.5%,0%,3.0,900.0 --> 600.0,46% --> 68%
Aft,Performance,358.0,78.0,2-Jul-21,2.5,25.0,9.0 --> 10.0,15.0,33.0 --> 34.0,15.0 --> 16.0,8.0,22.80% --> 26%,0%,3.0,600.0,73% --> 75%
Agape,Size,314.0,62.0,26-May-21,2.6,19.0,4.0,11.0 --> 9.0,33.0 --> 34.0,13.0,8.0,29.90% --> 31.1%,0%,3.0,600.0,63% --> 67%
,,,,,,,nan --> nan,nan --> nan,nan --> 0.0,nan --> 0.0,nan --> 0.0,nan --> 0%,nan --> 0%,nan --> 2.0,nan --> 1.0,nan --> 0%
,,,,,,,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan
Baker,Traditional,999.0,189.0,25-Nov-20,3.1,17.0,5.0,14.0,28.0 --> 26.0,11.0 --> 10.0,7.0,28.90% --> 26.7%,0%,4.0 --> 5.0,1.0,67% --> 72%
Bead,Low End,1.0,39.0,26-May-19,4.6,14.0,3.0,17.0,21.0,7.0,7.0,27.10% --> 27.9%,30% --> 50%,5.0 --> 7.0,1.0,130% --> 150%
Bid,High End,366.0,40.0,20-Apr-22,1.7,23.0,8.0 --> 9.0,12.0 --> 10.0,38.0,15.0 --> 16.0,8.0,33.40% --> 33.1%,0%,3.0,900.0,46% --> 61%
Bold,Performance,358.0,78.0,2-Jul-21,2.5,25.0,9.0 --> 10.0,15.0,33.0,15.0,8.0,22.80% --> 21.2%,0%,3.0,600.0,73% --> 92%
Buddy,Size,314.0,62.0,26-May-21,2.6,19.0,4.0,11.0 --> 9.0,33.0,13.0,8.0,29.90% --> 30.6%,0%,3.0,600.0,63% --> 83%
,,,,,,,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan
Cake,Traditional,999.0,189.0,25-Nov-20,3.1,17.0,5.0,14.0,28.0 --> 26.0,11.0 --> 10.0,7.0,28.90% --> 28.5%,0%,4.0,1.0,67% --> 92%
Cedar,Low End,1.0,39.0,26-May-19,4.6,14.0,3.0,17.0,21.0 --> 18.0,7.0,7.0 --> 6.0,27.10% --> 20.2%,30% --> 8.9%,5.0,1.0,130% --> 109%
Cid,High End,366.0,40.0,20-Apr-22,1.7,23.0,8.0,12.0 --> 11.0,38.0,15.0,8.0,33.40% --> 34.3%,0%,3.0,900.0,46% --> 72%
Coat,Performance,358.0,78.0,2-Jul-21,2.5,25.0,9.0,15.0,33.0,15.0 --> 14.0,8.0,22.80% --> 20.2%,0%,3.0,600.0,73% --> 75%
Cure,Size,314.0,62.0,26-May-21,2.6,19.0,4.0,11.0,33.0,13.0 --> 12.0,8.0,29.90% --> 28.2%,0%,3.0,600.0 --> 400.0,63% --> 88%
,,,,,,,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan
Daze,Traditional,999.0,189.0,25-Nov-20,3.1,17.0,5.0,14.0,28.0 --> 21.0,11.0 --> 10.0,7.0,28.90% --> 7.7%,0%,4.0,1.0,67% --> 100%
Dell,Low End,1.0,39.0,26-May-19,4.6,14.0,3.0,17.0,21.0 --> 28.0,7.0,7.0 --> 6.0,27.10% --> 48.5%,30% --> 0%,5.0,1.0,130% --> 92%
Dot,Performance,358.0,78.0,2-Jul-21,2.5,25.0,9.0,15.0,33.0 --> 27.0,15.0 --> 14.0,8.0 --> 9.0,22.80% --> 2.3%,0% --> 16.7%,3.0 --> 4.0,600.0 --> 750.0,73% --> 117%
Duck,High End,366.0,40.0,20-Apr-22,1.7,23.0,8.0,12.0,38.0 --> 31.0,15.0 --> 14.0,8.0 --> 9.0,33.40% --> 12.4%,0% --> 5.6%,3.0 --> 4.0,900.0 --> 1.0,46% --> 106%
Dune,Size,314.0,62.0,26-May-21,2.6,19.0,4.0,11.0,33.0 --> 25.0,13.0 --> 12.0,8.0 --> 9.0,29.90% --> -0.8%,0% --> 16.7%,3.0 --> 4.0,600.0 --> 800.0,63% --> 117%
,,,,,,,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan
Eat,Traditional,999.0,189.0,25-Nov-20,3.1,17.0,5.0,14.0,28.0 --> 23.0,11.0 --> 10.0,7.0,28.90% --> 18.8%,0%,4.0 --> 5.0,1.0,67% --> 85%
Ebb,Low End,1.0,39.0,26-May-19,4.6,14.0,3.0 --> 2.0,17.0 --> 16.0,21.0 --> 19.0,7.0 --> 6.0,7.0,27.10% --> 25.3%,30% --> 14.3%,5.0,1.0,130% --> 114%
Echo,High End,366.0,40.0,20-Apr-22,1.7,23.0,8.0,12.0 --> 11.0,38.0 --> 33.0,15.0,8.0,33.40% --> 22.8%,0%,3.0 --> 4.0,900.0,46% --> 89%
Edge,Performance,358.0,78.0,2-Jul-21,2.5,25.0,9.0,15.0,33.0 --> 32.0,15.0 --> 14.0,8.0,22.80% --> 22.5%,0%,3.0 --> 4.0,600.0,73% --> 96%
Egg,Size,314.0,62.0,26-May-21,2.6,19.0,4.0,11.0 --> 10.0,33.0 --> 31.0,13.0,8.0,29.90% --> 29%,0%,3.0 --> 4.0,600.0,63% --> 83%
,,,,,,,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan,nan --> nan
Fast,Traditional,999.0,189.0,25-Nov-20,3.1,17.0,5.0,14.0,28.0 --> 29.0,11.0 --> 10.0,7.0,28.90% --> 24.6%,0%,4.0 --> 5.0,1.0,67% --> 69%
Feat,Low End,1.0,39.0,26-May-19,4.6,14.0,3.0,17.0,21.0 --> 23.0,7.0,7.0 --> 6.0,27.10% --> 39.1%,30% --> 7.1%,5.0 --> 6.0,1.0,130% --> 107%
Fist,High End,366.0,40.0,20-Apr-22,1.7,23.0,8.0 --> 9.0,12.0 --> 10.0,38.0 --> 39.0,15.0 --> 16.0,8.0,33.40% --> 36%,0%,3.0,900.0,46% --> 56%
Foam,Performance,358.0,78.0,2-Jul-21,2.5,25.0,9.0 --> 10.0,15.0,33.0 --> 34.0,15.0 --> 16.0,8.0,22.80% --> 28.3%,0%,3.0 --> 4.0,600.0,73% --> 58%
Fume,Size,314.0,62.0,26-May-21,2.6,19.0,4.0,11.0 --> 9.0,33.0 --> 34.0,13.0 --> 14.0,8.0,29.90% --> 34.4%,0%,3.0,600.0,63%
